index	prediction
0	0
1	0
2	5
3	0
4	1
5	4
6	0
7	4
8	0
9	0
10	5
11	0
12	0
13	3
14	0
15	1
16	4
17	0
18	3
19	5
20	0
21	0
22	3
23	0
24	0
25	0
26	0
27	0
28	0
29	3
30	0
31	0
32	0
33	0
34	0
35	0
36	5
37	5
38	0
39	5
40	4
41	0
42	4
43	0
44	0
45	0
46	5
47	0
48	5
49	0
50	5
51	0
52	0
53	3
54	5
55	0
56	3
57	0
58	0
59	3
60	5
61	0
62	5
63	5
64	0
65	0
66	0
67	3
68	0
69	5
70	0
71	0
72	0
73	0
74	0
75	0
76	5
77	0
78	0
79	5
80	5
81	0
82	0
83	0
84	3
85	5
86	0
87	0
88	5
89	0
90	3
91	0
92	0
93	3
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	5
102	3
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	3
111	0
112	5
113	0
114	0
115	5
116	0
117	3
118	5
119	5
120	0
121	5
122	0
123	3
124	5
125	0
126	0
127	5
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	5
137	0
138	0
139	0
140	0
141	0
142	4
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	5
152	0
153	4
154	3
155	0
156	0
157	0
158	0
159	4
160	4
161	3
162	3
163	0
164	0
165	0
166	3
167	0
168	0
169	0
170	3
171	3
172	0
173	0
174	0
175	0
176	0
177	0
178	5
179	0
180	0
181	0
182	5
183	0
184	0
185	1
186	0
187	0
188	5
189	0
190	0
191	0
192	0
193	0
194	4
195	0
196	5
197	0
198	5
199	0
200	3
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	3
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	5
217	0
218	0
219	0
220	3
221	0
222	5
223	0
224	0
225	0
226	5
227	3
228	3
229	0
230	0
231	0
232	0
233	3
234	3
235	0
236	0
237	0
238	0
239	0
240	0
241	3
242	0
243	0
244	0
245	0
246	0
247	0
248	3
249	0
250	3
251	0
252	0
253	0
254	5
255	0
256	0
257	0
258	5
259	0
260	5
261	0
262	0
263	3
264	5
265	4
266	0
267	3
268	0
269	0
270	0
271	5
272	0
273	0
274	0
275	3
276	0
277	5
278	0
279	0
280	0
281	0
282	3
283	0
284	4
285	3
286	0
287	3
288	0
289	0
290	0
291	0
292	4
293	0
294	5
295	5
296	0
297	3
298	0
299	0
300	0
301	0
302	0
303	5
304	0
305	0
306	5
307	5
308	4
309	0
310	5
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	5
321	3
322	0
323	0
324	3
325	4
326	0
327	3
328	0
329	0
330	0
331	3
332	5
333	5
334	3
335	5
336	0
337	0
338	0
339	5
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	5
355	5
356	0
357	3
358	5
359	5
360	0
361	5
362	0
363	0
364	0
365	5
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	3
375	0
376	0
377	0
378	0
379	0
380	0
381	5
382	0
383	0
384	0
385	5
386	5
387	4
388	4
389	0
390	0
391	4
392	3
393	0
394	3
395	0
396	0
397	0
398	5
399	5
400	0
401	5
402	0
403	0
404	5
405	3
406	0
407	5
408	0
409	3
410	0
411	0
412	0
413	0
414	0
415	1
416	0
417	0
418	0
419	4
420	0
421	0
422	0
423	0
424	5
425	1
426	5
427	0
428	4
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	3
440	0
441	3
442	0
443	0
444	0
445	0
446	4
447	0
448	1
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	3
457	0
458	0
459	0
460	5
461	0
462	0
463	3
464	0
465	4
466	0
467	0
468	0
469	0
470	0
471	5
472	5
473	0
474	0
475	5
476	0
477	5
478	0
479	3
480	5
481	5
482	0
483	5
484	0
485	0
486	4
487	5
488	0
489	5
490	0
491	0
492	0
493	0
494	0
495	0
496	4
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	3
506	0
507	0
508	3
509	0
510	5
511	5
512	0
513	4
514	4
515	5
516	0
517	5
518	0
519	0
520	0
521	0
522	0
523	3
524	0
525	5
526	0
527	0
528	0
529	0
530	0
531	0
