id	text	hate_type	hate_severity	to_whom
147963	ধন্যবাদ বর্ডার গার্ড দেরকে এভাবে পাহারা দিতে হবে ভয় পেলে চলবে না তা না হলে আমাদের উপর হামলা করতে পারে	None	Little to None	None
214275	ছোটবেলায় অনেক কষ্ট করে কিছু গালাগালি শিখছিলাম ভাবছিলাম এরকম কোন সময় তা প্রয়োগ করব কিন্তু আফসোস কিছু বন্ধুদের স্ক্রিনশট এর ভয়ে তাও দিতে পারছিনা আপনার অবশ্যই বুঝে নিবেন	None	Little to None	None
849172	অতিরিক্ত এ নিজেকে বাদুর বানাইয়া ফেলছেন রে	Abusive	Little to None	Individual
821985	চিন ভারত রাশিয়া এই তিন দেশ এক থাকলে বিশ্বকে শাসন করা সম্ভব	None	Little to None	None
477288	এটার বিচার কে করবেযে বিচার করবে সেই তো হলো এই সমস্ত চোরদের গড ফাদার	Abusive	Severe	Individual
933728	তুরা কিসের জন্য দুভাই যাবি অন্য দেশে কেন জাস না	None	Little to None	None
398351	দেশ বিভাগের সময়ে পশ্চিম পাকিস্তানে ২৫ শতাংশ সংখ্যালঘু মানুষ বসবাস করতোসংখ্যালঘু দের উপরে বিভিন্ন রকমের অত্যাচারের ফলে আজ সেই সংখ্যা মাত্র ১ শতাংশ	None	Little to None	None
786609	ইরান পারমাণবিক বোমা বানাবে বানাবে বলতে বলতে বিয়া করার বয়স হই গেছে বোমা আর বানানো হলো না	Abusive	Little to None	Society
917115	আজকে এই উৎসব কেনো	None	Little to None	None
415453	ইমরান ছাড়া পাকিস্তান কখনোই ঘুরে দাড়াতে পারবে নাকারন পাকিস্তানের সেনাবাহিনীর আয়েশি জীবনযাপনের কৌশল রাজনীতিতে হস্তক্ষেপ করা যা পাকিস্তানিরা বুঝে ফেলছেন তা ছাড়া ১৯৭১ সালের তৎকালীন পূর্ব পাকিস্তানের জনগনের উপর কুখ্যাত সেনাবাহিনীর বর্বর হত্যাকাণ্ডধর্ষনলুটপাট এবং পাকিস্তান বিভক্ত হওয়ার বিষয়টি পাকিস্তানিরা জেনে গেছেতাই কুখ্যাত সেনাবাহিনীর উপর পাকিস্তানিরা আস্তা রাখতে পারছে না তাই পাকিস্তানিরা বেচে থাকার জন্য ও দেশটিকে রক্ষার জন ইমরান খানকে বেছে নিয়েছে	None	Little to None	None
243207	গরিবের রক্ত চুসে খাচ্ছে আপনার ব্যবসায়ীরা যেভাবে মন চাই সেভাবেই দাম বাড়ায় দেখার কেহ নাই আল্লাহ ছাড়া	None	Little to None	None
124917	মুসলিম বাচ্চাগুলো বাচ্চা পেরে পেরে গোটা পৃথিবীর ধ্বংস করে দেবে শালা শুয়োরের বাচ্চা গুলো	Profane	Severe	Community
450066	এইটা একমাত্র বাংলাদেশেই সম্ভব	None	Little to None	None
615093	বাংলা সবার মা জননী শেখ হাসিনা	None	Little to None	None
