index	prediction
0	0
1	0
2	0
3	0
4	0
5	4
6	0
7	3
8	0
9	0
10	4
11	4
12	0
13	2
14	0
15	0
16	4
17	0
18	2
19	2
20	0
21	0
22	4
23	0
24	0
25	0
26	0
27	0
28	0
29	2
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	2
38	0
39	0
40	3
41	0
42	4
43	0
44	0
45	0
46	4
47	0
48	3
49	0
50	3
51	0
52	0
53	2
54	3
55	0
56	2
57	0
58	0
59	2
60	4
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	3
73	0
74	0
75	4
76	2
77	0
78	4
79	0
80	2
81	0
82	0
83	0
84	2
85	1
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	2
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	3
102	4
103	0
104	4
105	0
106	0
107	0
108	0
109	2
110	0
111	0
112	3
113	0
114	0
115	4
116	0
117	0
118	0
119	0
120	0
121	2
122	0
123	2
124	4
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	4
143	2
144	0
145	0
146	0
147	2
148	0
149	0
150	0
151	0
152	0
153	2
154	0
155	0
156	0
157	2
158	1
159	4
160	0
161	2
162	0
163	0
164	0
165	0
166	2
167	0
168	0
169	0
170	2
171	2
172	4
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	2
183	0
184	0
185	1
186	0
187	0
188	0
189	0
190	0
191	3
192	0
193	0
194	4
195	0
196	2
197	0
198	0
199	0
200	2
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	2
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	3
217	0
218	0
219	0
220	2
221	0
222	0
223	0
224	0
225	0
226	4
227	0
228	2
229	0
230	0
231	0
232	0
233	4
234	0
235	0
236	0
237	0
238	4
239	0
240	0
241	2
242	0
243	0
244	0
245	0
246	0
247	0
248	2
249	0
250	2
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	4
259	0
260	4
261	0
262	0
263	0
264	3
265	2
266	0
267	2
268	0
269	0
270	0
271	2
272	0
273	0
274	0
275	2
276	0
277	3
278	2
279	1
280	0
281	0
282	2
283	0
284	4
285	2
286	0
287	2
288	0
289	0
290	0
291	0
292	4
293	0
294	3
295	2
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	2
304	0
305	0
306	3
307	4
308	3
309	0
310	0
311	0
312	0
313	4
314	0
315	0
316	0
317	0
318	0
319	4
320	0
321	0
322	4
323	0
324	3
325	4
326	0
327	0
328	0
329	0
330	0
331	2
332	4
333	2
334	4
335	0
336	0
337	0
338	0
339	0
340	0
341	2
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	4
352	0
353	0
354	0
355	0
356	0
357	0
358	4
359	0
360	0
361	2
362	0
363	0
364	0
365	2
366	0
367	0
368	0
369	0
370	0
371	4
372	0
373	0
374	4
375	0
376	1
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	4
387	2
388	2
389	0
390	0
391	4
392	0
393	0
394	0
395	4
396	0
397	0
398	0
399	2
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	4
408	0
409	2
410	0
411	0
412	0
413	0
414	0
415	3
416	0
417	4
418	0
419	4
420	0
421	0
422	0
423	0
424	4
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	2
440	0
441	2
442	0
443	0
444	0
445	0
446	4
447	0
448	0
449	4
450	0
451	2
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	4
462	0
463	0
464	0
465	0
466	0
467	0
468	1
469	0
470	0
471	0
472	4
473	1
474	0
475	0
476	0
477	0
478	0
479	2
480	2
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	4
490	0
491	0
492	0
493	0
494	0
495	0
496	4
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	2
505	2
506	0
507	0
508	2
509	0
510	4
511	4
512	0
513	4
514	4
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	4
524	0
525	2
526	0
527	0
528	0
529	0
530	0
531	0
