text,label
ধন্যবাদ বর্ডার গার্ড দেরকে এভাবে পাহারা দিতে হবে ভয় পেলে চলবে না তা না হলে আমাদের উপর হামলা করতে পারে,0
ছোটবেলায় অনেক কষ্ট করে কিছু গালাগালি শিখছিলাম ভাবছিলাম এরকম কোন সময় তা প্রয়োগ করব কিন্তু আফসোস কিছু বন্ধুদের স্ক্রিনশট এর ভয়ে তাও দিতে পারছিনা আপনার অবশ্যই বুঝে নিবেন,0
অতিরিক্ত এ নিজেকে বাদুর বানাইয়া ফেলছেন রে,5
চিন ভারত রাশিয়া এই তিন দেশ এক থাকলে বিশ্বকে শাসন করা সম্ভব,0
এটার বিচার কে করবেযে বিচার করবে সেই তো হলো এই সমস্ত চোরদের গড ফাদার,5
তুরা কিসের জন্য দুভাই যাবি অন্য দেশে কেন জাস না,0
দেশ বিভাগের সময়ে পশ্চিম পাকিস্তানে ২৫ শতাংশ সংখ্যালঘু মানুষ বসবাস করতোসংখ্যালঘু দের উপরে বিভিন্ন রকমের অত্যাচারের ফলে আজ সেই সংখ্যা মাত্র ১ শতাংশ,0
ইরান পারমাণবিক বোমা বানাবে বানাবে বলতে বলতে বিয়া করার বয়স হই গেছে বোমা আর বানানো হলো না,5
আজকে এই উৎসব কেনো,0
ইমরান ছাড়া পাকিস্তান কখনোই ঘুরে দাড়াতে পারবে নাকারন পাকিস্তানের সেনাবাহিনীর আয়েশি জীবনযাপনের কৌশল রাজনীতিতে হস্তক্ষেপ করা যা পাকিস্তানিরা বুঝে ফেলছেন তা ছাড়া ১৯৭১ সালের তৎকালীন পূর্ব পাকিস্তানের জনগনের উপর কুখ্যাত সেনাবাহিনীর বর্বর হত্যাকাণ্ডধর্ষনলুটপাট এবং পাকিস্তান বিভক্ত হওয়ার বিষয়টি পাকিস্তানিরা জেনে গেছেতাই কুখ্যাত সেনাবাহিনীর উপর পাকিস্তানিরা আস্তা রাখতে পারছে না তাই পাকিস্তানিরা বেচে থাকার জন্য ও দেশটিকে রক্ষার জন ইমরান খানকে বেছে নিয়েছে,0
গরিবের রক্ত চুসে খাচ্ছে আপনার ব্যবসায়ীরা যেভাবে মন চাই সেভাবেই দাম বাড়ায় দেখার কেহ নাই আল্লাহ ছাড়া,0
মুসলিম বাচ্চাগুলো বাচ্চা পেরে পেরে গোটা পৃথিবীর ধ্বংস করে দেবে শালা শুয়োরের বাচ্চা গুলো,4
এইটা একমাত্র বাংলাদেশেই সম্ভব,0
বাংলা সবার মা জননী শেখ হাসিনা,0
মাহী আপু মাঠ গরম করে ফেলছে,0
বাড়ি বাল ফালায়ছে,4
কুততার বাচচাদের ধরে নস কেন,5
আমেরিকা কি বাংলাদেশের মালিক বাংলাদেশ চলবে নিজস্ব আইন অনুযায়ী,0
শুভ কামনা ন্যাটো দেশ পোল্যানড,0
কামাল ডাঃক্তার সরকারের দালাল,5
ভারত নিয়ে এত কথা হয় ভারতে একটা মসজিদ ভাঙ্গা হয়েছে আর আফগানিস্তান পাকিস্তানে প্রতিদিন হাজার হাজার মসজিদে বিস্ফোরণ হয় সেটা কেউ দেখেনা,1
বিএনপির লজ্জা শরম শরম আছে তাই ক্ষমতা ছেড়ে দিতো আপনারা এত নির্লজ্জ বেহায়া,5
সামনে দেখবো এগুলো আর কি বলবে কত বছর লাগে এগুলো করতে এমন দেশ কোথায় আছে,5
আর কতো জ্ঞান দিবেন,0
এরা জনগনকে হালের বলদ বানাচ্ছে কারন ধারের টাকা দিয়ে কখনও দেশের সংকট মোকাবেলা করা সম্ভব নয়,3
আপনি কথা কম বললে ভালো হবে আপনার তো আর অগ্রসর হওয়ার কিছু নেই দেশের আপনার আর কি চাই না আগামীতে হওয়ার জন্য প্রয়োজনীয় পদক্ষেপ নিচ্ছেন,0
এমন আশ্বাস আমিও দিতে পারি,0
মন্ত্রী মনোনীত হওয়ায় আমাদের ভৈরব বাসীর পক্ষ হতে নাজমুল হাসান পাপন সাবকে লাল গোলাপ শুভেচ্ছাও অভিনন্দন,0
