index	prediction
0	5
1	0
2	5
3	5
4	4
5	4
6	0
7	4
8	0
9	0
10	5
11	0
12	0
13	3
14	5
15	3
16	4
17	0
18	3
19	5
20	3
21	0
22	3
23	5
24	0
25	0
26	0
27	0
28	0
29	3
30	0
31	0
32	0
33	5
34	0
35	5
36	3
37	5
38	0
39	5
40	4
41	0
42	4
43	0
44	0
45	5
46	5
47	0
48	5
49	0
50	4
51	0
52	0
53	4
54	5
55	0
56	3
57	0
58	0
59	3
60	5
61	0
62	5
63	3
64	0
65	0
66	0
67	0
68	3
69	5
70	0
71	0
72	5
73	0
74	5
75	0
76	5
77	0
78	0
79	0
80	5
81	0
82	0
83	0
84	3
85	5
86	0
87	0
88	5
89	0
90	3
91	0
92	0
93	3
94	0
95	0
96	0
97	0
98	4
99	0
100	0
101	5
102	3
103	0
104	5
105	5
106	0
107	0
108	0
109	0
110	5
111	0
112	5
113	4
114	0
115	5
116	0
117	0
118	5
119	0
120	0
121	5
122	5
123	3
124	5
125	5
126	0
127	5
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	5
136	5
137	0
138	0
139	0
140	0
141	0
142	5
143	3
144	0
145	0
146	0
147	3
148	0
149	0
150	5
151	4
152	0
153	4
154	3
155	0
156	0
157	5
158	0
159	5
160	4
161	3
162	3
163	0
164	0
165	0
166	3
167	5
168	0
169	0
170	4
171	3
172	0
173	0
174	0
175	0
176	0
177	0
178	5
179	0
180	0
181	0
182	5
183	0
184	5
185	3
186	0
187	0
188	5
189	5
190	0
191	5
192	3
193	0
194	4
195	0
196	5
197	5
198	5
199	0
200	3
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	5
209	0
210	0
211	0
212	0
213	0
214	5
215	0
216	5
217	5
218	0
219	0
220	3
221	0
222	5
223	0
224	0
225	0
226	4
227	0
228	3
229	0
230	0
231	0
232	0
233	3
234	5
235	0
236	0
237	0
238	5
239	0
240	0
241	3
242	0
243	0
244	0
245	0
246	0
247	0
248	3
249	0
250	3
251	0
252	5
253	0
254	5
255	0
256	0
257	0
258	5
259	3
260	5
261	5
262	0
263	5
264	5
265	4
266	0
267	3
268	0
269	5
270	3
271	5
272	0
273	0
274	0
275	3
276	0
277	3
278	0
279	3
280	0
281	0
282	0
283	0
284	4
285	3
286	0
287	3
288	0
289	0
290	0
291	0
292	4
293	0
294	5
295	5
296	3
297	5
298	0
299	0
300	0
301	0
302	0
303	3
304	0
305	0
306	5
307	5
308	4
309	0
310	5
311	5
312	0
313	5
314	5
315	0
316	0
317	5
318	0
319	0
320	5
321	3
322	5
323	5
324	4
325	5
326	5
327	3
328	0
329	0
330	0
331	3
332	5
333	5
334	3
335	5
336	0
337	0
338	0
339	0
340	0
341	0
342	3
343	3
344	0
345	0
346	0
347	0
348	5
349	0
350	0
351	5
352	0
353	0
354	0
355	0
356	0
357	3
358	4
359	5
360	0
361	0
362	0
363	0
364	0
365	5
366	0
367	0
368	5
369	0
370	5
371	0
372	0
373	0
374	3
375	0
376	3
377	0
378	5
379	0
380	0
381	5
382	0
383	5
384	0
385	5
386	0
387	4
388	5
389	0
390	0
391	4
392	3
393	5
394	3
395	3
396	0
397	0
398	0
399	5
400	0
401	5
402	0
403	0
404	5
405	0
406	0
407	5
408	0
409	3
410	0
411	0
412	0
413	0
414	0
415	5
416	5
417	0
418	0
419	4
420	5
421	5
422	5
423	0
424	5
425	3
426	5
427	0
428	4
429	0
430	0
431	0
432	0
433	5
434	0
435	5
436	0
437	0
438	0
439	3
440	0
441	3
442	0
443	0
444	0
445	5
446	5
447	0
448	5
449	0
450	0
451	0
452	0
453	5
454	0
455	5
456	0
457	0
458	0
459	0
460	5
461	0
462	0
463	3
464	5
465	5
466	0
467	0
468	3
469	0
470	0
471	5
472	5
473	0
474	0
475	5
476	3
477	0
478	0
479	5
480	5
481	5
482	5
483	5
484	5
485	0
486	5
487	5
488	0
489	4
490	5
491	0
492	3
493	0
494	0
495	5
496	4
497	5
498	5
499	0
500	0
501	0
502	5
503	0
504	0
